,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
evToOperatingCashFlow,25.668509594247926,17.426965689662,14.726079426369655,15.17672861159156,10.670078558379007,8.662446445992174,11.071382662401822,9.186736438017515,10.891223396313356,9.731705509181273,14.499431849421887,17.28072550410395,7.222886396321801,27.545865647462524,27.696913394699095,16.73382419822012,15.738866731563167,16.450698771128028,40.06548244444444,22.16296700155676,6.5099493967651325,12.079202219969924,5.365255195912259,9.754762339234045,5.037539499036609,-17.8495217448,5.962622439935142,-5.779399447004609,6.142103105320304,30.2097302010582,3.654191746887967,10.733150721893491,16.815901360544217,21.846007234042553,4.909844342857143,2.9323375396226417
evToFreeCashFlow,28.225739017329207,20.532371912716243,17.78355350511545,18.99906671338307,13.20989911583827,10.088600603055404,13.248606671743486,11.056635965073962,13.361414026219713,12.142872495729758,16.36620949617579,19.62384198481914,8.254235781720139,33.603007379933096,39.339186011664744,18.646261249445278,19.393273782691292,38.034015558848,-42.927302619047616,-87.23721053804256,7.478745760400556,12.83515761855659,5.7831332083894305,-7.365041444883535,5.784254424778761,-10.736554432962405,7.610602771558413,-4.354616944444445,7.791841542699725,-196.88410372413793,4.760325464864865,20.304878417910448,32.95916666666667,40.265189803921565,6.236294225806452,3.6827935924170614
earningsYield,0.02875781992128926,0.04804570528031904,0.056602971618961155,0.05558745325161287,0.0709820085024194,0.08050305008642644,0.061767722532507674,0.0755372474784473,0.07391211197392611,0.06911866549178756,0.04988999932666979,0.031545551092880826,0.05954241919924104,0.021846192605735257,0.029302076798738697,0.029077843981774643,0.015620488657777709,0.008465995955321244,0.011728843388691512,-0.0041029688309985645,0.1253944860731425,0.056351480516910586,0.06595415156153513,-0.500504019575135,-0.2691751858743724,0.09916075346001749,0.062014379608025486,0.024110482277709167,0.08874931676422215,0.050286805050174965,0.12583978705021398,0.07797060157143915,0.07998600244957133,0.046446427098535616,0.07255249682897534,0.05475421672276216
freeCashFlowYield,0.03674935915635308,0.05121072568028215,0.06096721276611191,0.0584064318740396,0.08311608354354479,0.10520548804979332,0.07801086697980594,0.09094164929837634,0.07341798312527575,0.08019759671308135,0.05865181252462414,0.04947519286060867,0.1034293947074942,0.028020116603008263,0.023026217212885162,0.0495521311299905,0.04289974783549095,0.015336949194422543,-0.015157274533078264,-0.0077135814022773015,0.11470564311270924,0.07041590993044901,0.15346613259787623,-0.11925885251120442,0.14910194119511802,-0.09331401092110136,0.11544209744311582,-0.23944203089587032,0.12156981881287789,-0.004704249504693787,0.1960451419308597,0.04602669872499051,0.029994750918589247,0.021831961124657295,0.11683778710120706,0.1893957332541445
debtToEquity,1.5100782075024104,1.0145765184333835,0.8748261733879623,0.7251710221041874,0.58812934213912,0.44680993674332875,0.25986355527266536,0.1372734704449247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07716727716727717,0.08086734693877551,0.07304601899196493,0.09664948453608248,0.5809987819732034,0.7925,0.4611273080660836,0.10444674250258532,0.1275541780077296,1.552319842053307,0.9309556470050298,0.9773627617430674,1.056668970283345,0.8465679676985195,1.0757726819541376,0.7667464114832536,0.6714697406340058,0.7018181818181818
debtToAssets,0.7982666847799239,0.7326921031797611,0.7070285050242668,0.6428451530564666,0.6013224075651412,0.5889200778384336,0.5188600709975457,0.4031449275362319,0.32859641948382406,0.34163150613125265,0.36433768272082784,0.3339087598155828,0.468563630850096,0.4266777133388567,0.41970357454228424,0.35364903471560905,0.3694409937888199,0.38033749082905355,0.3497935852651635,0.3489453579139678,0.39629575187417315,0.39856616934702577,0.617160177197482,0.7165131112686038,0.616331096196868,0.5344246509388542,0.5505534302416144,0.6081995745503771,0.48200757575757575,0.4942759015455066,0.5137768817204301,0.4584548104956268,0.5182516810758886,0.43369418132611637,0.4017241379310345,0.41239316239316237
netDebtToEBITDA,0.9621948696731485,0.774128169253501,1.0827495996381462,1.3341212011020824,0.8939301563895703,0.4935080679379781,0.3548611225992159,0.04844321687352034,-0.18363580436788682,-0.27567127289068644,-0.5801050896352772,-0.6271448999046711,-1.7597806757557795,-1.9788404570461278,-2.3868558625840177,-1.9086932750136687,-5.949899799599199,-24.608695652173914,-12.176100628930818,8.168032786885245,-1.265625,-2.178343949044586,-1.4166666666666667,0.38484848484848483,0.3979007633587786,0.01015228426395939,-1.0779424790149403,0.4230769230769231,-0.2775330396475771,-0.6463068181818182,-0.25661914460285135,-0.43843498273878023,-0.0776566757493188,-1.1746361746361746,-1.5955678670360112,-2.080246913580247
currentRatio,1.3636044481554577,1.540125617208044,1.1238426916297297,1.2760628484139107,1.352669417512594,1.1087706239920605,1.0801128483167317,1.6786385084062485,1.4958486845519174,1.6084376117268502,2.0112923462986196,2.7424821832087605,2.4616803860346295,2.361114098290139,2.2421573172616287,2.9563719862227327,2.6324626865671643,2.4976665252439543,3.249698431845597,3.388010540184453,2.8075530263838595,2.7663008392511297,2.432894736842105,1.8833883388338835,2.254118821767349,2.2468817204301077,2.302340424984763,1.729665071770335,2.4950911640953715,2.353327855382087,2.3398247322297956,2.5631284916201116,2.1559854897218864,2.7286012526096033,3.164133738601824,2.7864406779661017
interestCoverage,23.07274625826662,17.87751677852349,21.882098765432097,26.40723202755058,41.22527472527472,97.17598908594816,136.7265625,360.2867647058824,,,,,,,,,116.33333333333333,3.125,4.090909090909091,-21.5,29.523809523809526,8.212765957446809,4.209677419354839,-10.95774647887324,-20.066666666666666,13.770833333333334,9.971981943358637,2.413793103448276,13.571428571428571,,,,,,,
incomeQuality,1.405201093867029,1.2558093238743304,1.300734071324184,1.3153399102397054,1.4496683958237573,1.5220062179271079,1.511338901543913,1.448983448983449,1.2186039824599237,1.4477663760512307,1.326982088061086,1.7810308555399719,1.9851055026892843,1.5646453089244852,1.1161387631975868,1.898876404494382,3.3840579710144927,4.188405797101449,1.3846153846153846,-7.4,1.0508905852417303,1.3277870216306156,2.5080906148867315,-0.1799043062200957,-0.6360294117647058,-0.5660377358490566,2.3760389195881073,-7.482758620689655,1.7377358490566037,0.6096774193548387,2.0294736842105263,1.1167400881057268,0.735,0.8663594470046083,2.0454545454545454,4.344262295081967
dividendYield,0.007053332328502797,0.012276627205241504,0.013037576167697424,0.014680072605940824,0.01887695412927957,0.017430718096587184,0.017393765651649715,0.021545359569142133,0.004406425001584553,,,,,,,,,,,,,,,,0.004618201718432859,0.013564442690285412,0.011310529706121057,0.015519390891399002,0.009544737840680495,0.00924628350922572,0.014305996843603274,0.008587070657647484,0.007998600244957133,0.0032105825183319546,,
payoutRatio,0.24526658654264863,0.25551976255972203,0.23033377567989788,0.264089677566131,0.26593998292730975,0.2165224557066337,0.2815995950392306,0.28522828522828525,0.05961708959336736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01715686274509804,0.13679245283018868,0.18238559794698528,0.6436781609195402,0.10754716981132076,0.18387096774193548,0.11368421052631579,0.11013215859030837,0.1,0.06912442396313365,0.0,0.0
